,Tweet Id,user,location,Tweets
0,1404816221950955528,JoMulhern1,Vancouver Island,MerMade Launches Recycling Bins Made With 100% Certified Ocean Plastic For #WorldOceansDay via @forbes https://t.co/PvPjAaLPQg
1,1404813092568064014,ecostrategy, Toronto & Sudbury,MerMade Launches Recycling Bins Made With 100% Certified Ocean Plastic For #WorldOceansDay via @forbes https://t.co/PvPjAaLPQg
2,1404785818577817600,OceanRiverInst,"Cambridge, MA","The Ocean Based Climate Solution Act is a bold action to protect the health of our ocean and coastal communities, promote ocean resiliency, spur clean energy research, and protect our shorelines. Support the bill by signing our letter to legislators. https://t.co/gAv3zeXBkA https://t.co/ZxPBewMUru"
3,1404769735955320834,repenzall,"Lahore, Pakistan","Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
4,1404766717197180937,PritiranjanDash,India,"Its World Ocean Day today.
Lets end the waves of waste.
Lets beat plastic pollution!

#worldgreenline #WorldOceansDay #ClimateEmergency #OxygenBank #waragainstplastic #environment #Wgl #waragainstplastic https://t.co/26znZLjxbq"
5,1404758993524953090,AjayNamdev0084,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
6,1404742012381929473,GenetHailemary1,,"Climate change, pollution, overfishing and habitat destruction threaten the health of the ocean and the blue economy. On #WorldOceanDay, we explore the ideas and solutions that could accelerate the shift towards a sustainable ocean economy: https://t.co/bPaV685sdv"
7,1404732549193035781,Plasticsimpact,www.plasticsimpact@gmail.com,"Happy World Oceans Day 🌊🌊🌊

We’re losing our ocean marine life and beaches.

♻️ Avoid plastic packaging 

♻️ Reuse packaging when possible 

♻️ Recycle #plastic (most plastic is 𝒏𝒐𝒕 recyclable)

#WorldOceansDay #WorldOceansDay2021 #WorldOceanDay https://t.co/6EGh5EcMwY"
8,1404727190231519235,Plasticsimpact,www.plasticsimpact@gmail.com,Today Is National World Ocean Day! Here in #theoffice we have been finding ways to be more #ecofriendly and cut back on #plastic use as a way to help #protect our #oceans! Every small step counts!  #nationalworldoceanday #reduce #reuse #recycle https://t.co/QjPvjxfC2A
9,1404727150595383298,Plasticsimpact,www.plasticsimpact@gmail.com,"Happy World Ocean Day !

Save them from all the #plastic. #Reduce #Reuse #Recycle 

#WorldOceansDay #WorldOceansDay https://t.co/C095vmEzfZ"
10,1404726585303965696,brukkia,europe italy liguria,"Oceans produce at least 50% of the world's oxygen and are home to most of Earth's biodiversity. This year #WorldOceanDay commits to protecting at least 30% of the blue planet by 2030:
https://t.co/HTnWx1Ug3K https://t.co/0uUCZSz7mM"
11,1404726365837041666,cdlxls,,"The ocean economy is estimated to grow to $3 trillion per year by 2030. But this priceless natural capital is at risk due to threats like overfishing, plastic pollution, &amp; the destruction of ocean habitats. Here’s what you can do to help: https://t.co/edaIGN6QK6 #WorldOceansDay"
